diagnosis_code,ChronicOrAcute,is_chronic,clinical_category,diagnosis_name,common_name,synonyms,icd11_code,icd11_uri,department,department-ignore,severity,default_follow_up_days,billing_code,status,default_treatment_template,is_reportable,notifiable,is_photo_medicine_eligible
DIAG-0028,Chronic,Yes,Gastrointestinal,Viral hepatitis,Viral hepatitis,"Viral hepatitis, Viral",,,General Medicine,Gastroenterology,Mild,7,BL-00028,Approved,TT-0028,Yes,Yes,No
DIAG-0029,Chronic,Yes,Orthopedics,Low back pain,Low back pain,"Low back pain, Low",,,General Medicine,General Medicine,Mild,7,BL-00029,Approved,TT-0029,No,No,No
DIAG-0030,Chronic,Yes,Orthopedics,Osteoarthritis,Osteoarthritis,Osteoarthritis,,,General Medicine,General Medicine,Moderate,30,BL-00030,Approved,TT-0030,No,No,No
DIAG-0031,Chronic,Yes,Orthopedics,Rheumatoid arthritis,Rheumatoid arthritis,"Rheumatoid arthritis, Rheumatoid",,,General Medicine,General Medicine,Moderate,30,BL-00031,Approved,TT-0031,No,No,No
DIAG-0032,Chronic,Yes,Neurology,Migraine,Migraine,Migraine,,,General Medicine,Neurology,Mild,7,BL-00034,Approved,TT-0034,No,No,No
DIAG-0033,Chronic,Yes,Neurology,Epilepsy,Epilepsy,Epilepsy,,,General Medicine,Neurology,Mild,7,BL-00035,Approved,TT-0035,No,No,No
DIAG-0034,Chronic,Yes,Neurology,Alzheimer disease,Alzheimer disease,"Alzheimer disease, Alzheimer",,,General Medicine,General Medicine,Moderate,7,BL-00036,Approved,TT-0036,No,No,No
DIAG-0035,Chronic,Yes,Neurology,Peripheral neuropathy,Peripheral neuropathy,"Peripheral neuropathy, Peripheral",,,General Medicine,Neurology,Mild,7,BL-00037,Approved,TT-0037,No,No,No
DIAG-0036,Chronic,Yes,Neurology,Parkinson disease,Parkinson disease,"Parkinson disease, Parkinson",,,General Medicine,Neurology,Moderate,7,BL-00038,Approved,TT-0038,No,No,No
DIAG-0037,Chronic,Yes,Psychiatry,Depression,Depression,Depression,,,General Medicine,Psychiatry,Mild,7,BL-00039,Approved,TT-0039,No,No,No
DIAG-0038,Chronic,Yes,Psychiatry,Anxiety disorder,Anxiety disorder,"Anxiety disorder, Anxiety",,,General Medicine,Psychiatry,Mild,7,BL-00040,Approved,TT-0040,No,No,No
DIAG-0039,Chronic,Yes,Psychiatry,Schizophrenia,Schizophrenia,Schizophrenia,,,General Medicine,Psychiatry,Mild,7,BL-00041,Approved,TT-0041,No,No,No
DIAG-0040,Chronic,Yes,Addiction,Alcohol dependence,Alcohol dependence,"Alcohol dependence, Alcohol",,,General Medicine,General Medicine,Mild,7,BL-00042,Approved,TT-0042,No,No,No
DIAG-0041,Chronic,Yes,Addiction,Nicotine dependence,Nicotine dependence,"Nicotine dependence, Nicotine",,,General Medicine,General Medicine,Mild,7,BL-00043,Approved,TT-0043,No,No,No
DIAG-0042,Chronic,Yes,Skin,Dermatitis,Dermatitis,Dermatitis,,,General Medicine,Dermatology,Mild,7,BL-00044,Approved,TT-0044,No,No,No
DIAG-0043,Chronic,Yes,Skin,Psoriasis,Psoriasis,Psoriasis,,,General Medicine,Dermatology,Mild,7,BL-00045,Approved,TT-0045,No,No,No
DIAG-0044,Chronic,Yes,Skin,Urticaria,Urticaria,Urticaria,,,General Medicine,Dermatology,Mild,7,BL-00046,Approved,TT-0046,No,No,No
DIAG-0045,Chronic,Yes,Skin,Fungal skin infection,Fungal skin infection,"Fungal skin infection, Fungal",,,General Medicine,Dermatology,Mild,7,BL-00047,Approved,TT-0047,No,No,No
DIAG-0046,Chronic,Yes,Cancer,Oral cancer,Oral cancer,"Oral cancer, Oral",2C10,https://id.who.int/icd/entity/2C10,General Medicine,Dental,Severe,7,BL-00048,Approved,TT-0048,No,No,Yes
DIAG-0047,Chronic,Yes,Cancer,Breast cancer,Breast cancer,"Breast cancer, Breast",2C20,https://id.who.int/icd/entity/2C20,Oral Oncology,Oncology,Severe,7,BL-00049,Approved,TT-0049,No,No,Yes
DIAG-0048,Chronic,Yes,Cancer,Lung cancer,Lung cancer,"Lung cancer, Lung",2C30,https://id.who.int/icd/entity/2C30,Oral Oncology,Oncology,Severe,7,BL-00050,Approved,TT-0050,No,No,Yes
DIAG-0049,Chronic,Yes,Cancer,Colorectal cancer,Colorectal cancer,"Colorectal cancer, Colorectal",2C40,https://id.who.int/icd/entity/2C40,Oral Oncology,Oncology,Severe,7,BL-00051,Approved,TT-0051,No,No,Yes
DIAG-0050,Chronic,Yes,Cancer,Leukemia,Leukemia,Leukemia,2C14,https://id.who.int/icd/entity/2C14,Oral Oncology,Oncology,Mild,30,BL-00052,Approved,TT-0052,No,No,No
DIAG-0051,Acute,No,Obstetrics/Gynaecology,Normal pregnancy,Normal pregnancy,"Normal pregnancy, Normal",JA20,https://id.who.int/icd/entity/JA20,General Medicine,Gynaecology,Mild,7,BL-00053,Approved,TT-0053,No,No,No
DIAG-0052,Acute,No,Obstetrics/Gynaecology,Preeclampsia,Preeclampsia,Preeclampsia,JA84,https://id.who.int/icd/entity/JA84,General Medicine,Gynaecology,Mild,7,BL-00054,Approved,TT-0054,No,No,No
DIAG-0053,Chronic,Yes,Obstetrics/Gynaecology,Gestational diabetes,Gestational diabetes,"Gestational diabetes, Gestational",JA63,https://id.who.int/icd/entity/JA63,General Medicine,Gynaecology,Moderate,30,BL-00055,Approved,TT-0055,No,No,No
DIAG-0054,Chronic,Yes,Obstetrics/Gynaecology,PCOS,PCOS,PCOS,,,General Medicine,General Medicine,Mild,7,BL-00056,Approved,TT-0056,No,No,No
DIAG-0055,Chronic,Yes,Obstetrics/Gynaecology,Menstrual disorders,Menstrual disorders,"Menstrual disorders, Menstrual",,,General Medicine,Gynaecology,Mild,7,BL-00057,Approved,TT-0057,No,No,No
DIAG-0056,Acute,No,ENT,Acute otitis media,Acute otitis media,"Acute otitis media, Acute",KA81,https://id.who.int/icd/entity/KA81,General Medicine,ENT,Severe,7,BL-00058,Approved,TT-0058,No,No,No
DIAG-0057,Chronic,Yes,Medical Disease,Nutritional anemia,Nutritional anemia,"Nutritional anemia, Nutritional",XA20,https://id.who.int/icd/entity/XA20,General Medicine,General Medicine,Mild,7,BL-00059,Approved,TT-0059,No,No,No
DIAG-0058,Acute,No,ENT,Acute pharyngitis,Acute pharyngitis,"Acute pharyngitis, Acute",,,General Medicine,ENT,Severe,7,BL-00060,Approved,TT-0060,No,No,No
DIAG-0059,Acute,No,ENT,Tonsillitis,Tonsillitis,Tonsillitis,,,General Medicine,ENT,Mild,7,BL-00061,Approved,TT-0061,No,No,No
DIAG-0060,Acute,No,ENT,Sinusitis,Sinusitis,Sinusitis,,,General Medicine,ENT,Mild,7,BL-00062,Approved,TT-0062,No,No,No
DIAG-0061,Acute,No,ENT,Otitis externa,Otitis externa,"Otitis externa, Otitis",,,General Medicine,ENT,Mild,7,BL-00063,Approved,TT-0063,No,No,No
DIAG-0062,Chronic,Yes,Genitourinary,Chronic kidney disease,Chronic kidney disease,"Chronic kidney disease, Chronic",,,General Medicine,Nephrology/Urology,Moderate,30,BL-00064,Approved,TT-0064,No,No,No
DIAG-0063,Acute,No,Genitourinary,Acute kidney injury,Acute kidney injury,"Acute kidney injury, Acute",,,General Medicine,Nephrology/Urology,Severe,7,BL-00065,Approved,TT-0065,No,No,No
DIAG-0064,Acute,No,Genitourinary,Urinary tract infection,Urinary tract infection,"Urinary tract infection, Urinary",,,General Medicine,Nephrology/Urology,Mild,7,BL-00066,Approved,TT-0066,No,No,No
DIAG-0065,Acute,No,Genitourinary,Pyelonephritis,Pyelonephritis,Pyelonephritis,,,General Medicine,Nephrology/Urology,Mild,7,BL-00067,Approved,TT-0067,No,No,No
DIAG-0066,Chronic,Yes,Genitourinary,Benign prostatic hyperplasia,Benign prostatic hyperplasia,"Benign prostatic hyperplasia, Benign",,,General Medicine,General Medicine,Mild,7,BL-00068,Approved,TT-0068,No,No,No
DIAG-0067,Chronic,Yes,Genitourinary,Prostatitis,Prostatitis,Prostatitis,,,General Medicine,General Medicine,Mild,7,BL-00069,Approved,TT-0069,No,No,No
DIAG-0068,Chronic,Yes,Gastrointestinal,Gallstones,Gallstones,Gallstones,,,Gastroenterology,Gastroenterology,Mild,7,BL-00070,Approved,TT-0070,No,No,No
DIAG-0069,Acute,No,Gastrointestinal,Pancreatitis,Pancreatitis,Pancreatitis,,,Gastroenterology,Gastroenterology,Mild,7,BL-00071,Approved,TT-0071,No,No,No
DIAG-0070,Chronic,Yes,Gastrointestinal,Irritable bowel syndrome,Irritable bowel syndrome,"Irritable bowel syndrome, Irritable",,,General Medicine,General Medicine,Mild,7,BL-00072,Approved,TT-0072,No,No,No
DIAG-0071,Chronic,Yes,Gastrointestinal,Constipation,Constipation,Constipation,,,General Medicine,General Medicine,Mild,7,BL-00073,Approved,TT-0073,No,No,No
DIAG-0072,Acute,No,Gastrointestinal,Diarrhea,Diarrhea,Diarrhea,,,General Medicine,General Medicine,Mild,7,BL-00074,Approved,TT-0074,No,No,No
DIAG-0073,Chronic,Yes,Medical Disease,Iron deficiency anemia,Iron deficiency anemia,"Iron deficiency anemia, Iron",,,General Medicine,General Medicine,Mild,7,BL-00075,Approved,TT-0075,No,No,No
DIAG-0074,Chronic,Yes,Hematology,Thalassemia minor,Thalassemia minor,"Thalassemia minor, Thalassemia",,,General Medicine,General Medicine,Mild,7,BL-00076,Approved,TT-0076,No,No,No
DIAG-0075,Acute,No,Cardiovascular,Hypertensive crisis,Hypertensive crisis,"Hypertensive crisis, Hypertensive",,,General Medicine,Cardiology,Mild,7,BL-00077,Approved,TT-0077,No,No,No
DIAG-0076,Acute,No,General Medicine,Hypotension,Hypotension,Hypotension,,,General Medicine,General Medicine,Mild,7,BL-00078,Approved,TT-0078,No,No,No
DIAG-0077,Chronic,Yes,Cardiovascular,Varicose veins,Varicose veins,"Varicose veins, Varicose",,,General Medicine,General Medicine,Mild,7,BL-00079,Approved,TT-0079,No,No,No
DIAG-0078,Chronic,Yes,Cardiovascular,Peripheral vascular disease,Peripheral vascular disease,"Peripheral vascular disease, Peripheral",,,General Medicine,General Medicine,Moderate,7,BL-00080,Approved,TT-0080,No,No,No
DIAG-0079,Chronic,Yes,Cardiovascular,Deep vein thrombosis,Deep vein thrombosis,"Deep vein thrombosis, Deep",,,General Medicine,General Medicine,Mild,7,BL-00081,Approved,TT-0081,No,No,No
DIAG-0080,Acute,No,Cardiovascular,Pulmonary embolism,Pulmonary embolism,"Pulmonary embolism, Pulmonary",,,General Medicine,General Medicine,Mild,7,BL-00082,Approved,TT-0082,No,No,No
DIAG-0081,Chronic,Yes,Allergy,Allergic rhinitis,Allergic rhinitis,"Allergic rhinitis, Allergic",,,General Medicine,General Medicine,Mild,7,BL-00083,Approved,TT-0083,No,No,No
DIAG-0082,Acute,No,Medical Disease,Sinus headache,Sinus headache,"Sinus headache, Sinus",,,General Medicine,ENT,Mild,7,BL-00084,Approved,TT-0084,No,No,No
DIAG-0083,Chronic,Yes,Medical Disease,Tension headache,Tension headache,"Tension headache, Tension",,,General Medicine,General Medicine,Mild,7,BL-00085,Approved,TT-0085,No,No,No
DIAG-0084,Chronic,Yes,Medical Disease,Cluster headache,Cluster headache,"Cluster headache, Cluster",,,General Medicine,General Medicine,Mild,7,BL-00086,Approved,TT-0086,No,No,No
DIAG-0085,Chronic,Yes,Neurology,Sciatica,Sciatica,Sciatica,,,General Medicine,General Medicine,Mild,7,BL-00087,Approved,TT-0087,No,No,No
DIAG-0086,Chronic,Yes,Neurology,Cervical spondylosis,Cervical spondylosis,"Cervical spondylosis, Cervical",,,General Medicine,General Medicine,Mild,7,BL-00088,Approved,TT-0088,No,No,No
DIAG-0087,Chronic,Yes,Neurology,Lumbar spondylosis,Lumbar spondylosis,"Lumbar spondylosis, Lumbar",,,General Medicine,General Medicine,Mild,7,BL-00089,Approved,TT-0089,No,No,No
DIAG-0088,Chronic,Yes,Neurology,Carpal tunnel syndrome,Carpal tunnel syndrome,"Carpal tunnel syndrome, Carpal",,,General Medicine,General Medicine,Mild,7,BL-00090,Approved,TT-0090,No,No,No
DIAG-0089,Chronic,Yes,Orthopedics,Tendinitis,Tendinitis,Tendinitis,,,General Medicine,General Medicine,Mild,7,BL-00091,Approved,TT-0091,No,No,No
DIAG-0090,Chronic,Yes,Orthopedics,Plantar fasciitis,Plantar fasciitis,"Plantar fasciitis, Plantar",,,General Medicine,General Medicine,Mild,7,BL-00092,Approved,TT-0092,No,No,No
DIAG-0091,Chronic,Yes,Orthopedics,Achilles tendinitis,Achilles tendinitis,"Achilles tendinitis, Achilles",,,General Medicine,General Medicine,Mild,7,BL-00093,Approved,TT-0093,No,No,No
DIAG-0092,Chronic,Yes,Orthopedics,Shoulder impingement,Shoulder impingement,"Shoulder impingement, Shoulder",,,General Medicine,General Medicine,Mild,7,BL-00094,Approved,TT-0094,No,No,No
DIAG-0093,Chronic,Yes,Orthopedics,Rotator cuff tear,Rotator cuff tear,"Rotator cuff tear, Rotator",,,General Medicine,ENT,Mild,7,BL-00095,Approved,TT-0095,No,No,No
DIAG-0094,Chronic,Yes,Orthopedics,Frozen shoulder,Frozen shoulder,"Frozen shoulder, Frozen",,,General Medicine,General Medicine,Mild,7,BL-00096,Approved,TT-0096,No,No,No
DIAG-0095,Chronic,Yes,Medical Disease,Gout,Gout,Gout,,,General Medicine,General Medicine,Mild,7,BL-00097,Approved,TT-0097,No,No,No
DIAG-0096,Chronic,Yes,Endocrine/Metabolic,Hyperlipidemia,Hyperlipidemia,Hyperlipidemia,,,General Medicine,Endocrinology,Mild,7,BL-00098,Approved,TT-0098,No,No,No
DIAG-0097,Chronic,Yes,Endocrine/Metabolic,Metabolic syndrome,Metabolic syndrome,"Metabolic syndrome, Metabolic",,,General Medicine,Endocrinology,Mild,7,BL-00099,Approved,TT-0099,No,No,No
DIAG-0098,Chronic,Yes,Endocrine/Metabolic,Vitamin D deficiency,Vitamin D deficiency,"Vitamin D deficiency, Vitamin",,,General Medicine,Endocrinology,Mild,7,BL-00100,Approved,TT-0100,No,No,No
DIAG-0099,Chronic,Yes,Endocrine/Metabolic,Vitamin B12 deficiency,Vitamin B12 deficiency,"Vitamin B12 deficiency, Vitamin",,,General Medicine,Endocrinology,Mild,7,BL-00101,Approved,TT-0101,No,No,No
DIAG-0100,Chronic,Yes,Respiratory,Obstructive sleep apnea,Obstructive sleep apnea,"Obstructive sleep apnea, Obstructive",,,General Medicine,General Medicine,Mild,7,BL-00102,Approved,TT-0102,No,No,No
DIAG-0101,Chronic,Yes,Medical Disease,Insomnia,Insomnia,Insomnia,,,General Medicine,General Medicine,Mild,7,BL-00103,Approved,TT-0103,No,No,No
DIAG-0102,Chronic,Yes,Medical Disease,Restless leg syndrome,Restless leg syndrome,"Restless leg syndrome, Restless",,,General Medicine,General Medicine,Mild,7,BL-00104,Approved,TT-0104,No,No,No
DIAG-0103,Acute,No,Eye,Conjunctivitis,Conjunctivitis,Conjunctivitis,,,General Medicine,General Medicine,Mild,7,BL-00105,Approved,TT-0105,No,No,No
DIAG-0104,Chronic,Yes,Eye,Glaucoma,Glaucoma,Glaucoma,,,General Medicine,General Medicine,Mild,7,BL-00106,Approved,TT-0106,No,No,No
DIAG-0105,Chronic,Yes,Eye,Cataract,Cataract,Cataract,,,General Medicine,General Medicine,Mild,7,BL-00107,Approved,TT-0107,No,No,No
DIAG-0106,Chronic,Yes,Eye,Macular degeneration,Macular degeneration,"Macular degeneration, Macular",,,General Medicine,General Medicine,Mild,7,BL-00108,Approved,TT-0108,No,No,No
DIAG-0107,Chronic,Yes,Eye,Diabetic retinopathy,Diabetic retinopathy,"Diabetic retinopathy, Diabetic",,,General Medicine,General Medicine,Mild,7,BL-00109,Approved,TT-0109,No,No,No
DIAG-0108,Chronic,Yes,ENT,Epistaxis,Epistaxis,Epistaxis,,,General Medicine,ENT,Mild,7,BL-00110,Approved,TT-0110,No,No,No
DIAG-0109,Acute,No,Cardiovascular,Phlebitis,Phlebitis,Phlebitis,,,General Medicine,General Medicine,Mild,7,BL-00111,Approved,TT-0111,No,No,No
DIAG-0110,Chronic,Yes,Gastrointestinal,Hemorrhoids,Hemorrhoids,Hemorrhoids,,,General Medicine,General Medicine,Mild,7,BL-00112,Approved,TT-0112,No,No,No
DIAG-0111,Chronic,Yes,Gastrointestinal,Anal fissure,Anal fissure,"Anal fissure, Anal",,,General Medicine,General Medicine,Mild,7,BL-00113,Approved,TT-0113,No,No,No
DIAG-0112,Chronic,Yes,Gastrointestinal,Inguinal hernia,Inguinal hernia,"Inguinal hernia, Inguinal",,,General Medicine,General Medicine,Mild,7,BL-00114,Approved,TT-0114,No,No,No
DIAG-0113,Chronic,Yes,Gastrointestinal,Umbilical hernia,Umbilical hernia,"Umbilical hernia, Umbilical",,,General Medicine,General Medicine,Mild,7,BL-00115,Approved,TT-0115,No,No,No
DIAG-0114,Acute,No,Gastrointestinal,Appendicitis,Appendicitis,Appendicitis,,,General Medicine,General Medicine,Mild,7,BL-00116,Approved,TT-0116,No,No,No
DIAG-0115,Acute,No,Gastrointestinal,Cholecystitis,Cholecystitis,Cholecystitis,,,General Medicine,Gastroenterology,Mild,7,BL-00117,Approved,TT-0117,No,No,No
DIAG-0116,Chronic,Yes,Obstetrics/Gynaecology,Endometriosis,Endometriosis,Endometriosis,,,General Medicine,Gynaecology,Mild,7,BL-00118,Approved,TT-0118,No,No,No
DIAG-0117,Chronic,Yes,Obstetrics/Gynaecology,Uterine fibroids,Uterine fibroids,"Uterine fibroids, Uterine",,,General Medicine,Gynaecology,Mild,7,BL-00119,Approved,TT-0119,No,No,No
DIAG-0118,Chronic,Yes,Obstetrics/Gynaecology,Pelvic inflammatory disease,Pelvic inflammatory disease,"Pelvic inflammatory disease, Pelvic",,,General Medicine,General Medicine,Moderate,7,BL-00120,Approved,TT-0120,No,No,No
DIAG-0119,Chronic,Yes,Obstetrics/Gynaecology,Ovarian cyst,Ovarian cyst,"Ovarian cyst, Ovarian",,,General Medicine,Gynaecology,Mild,7,BL-00121,Approved,TT-0121,No,No,No
DIAG-0120,Chronic,Yes,Obstetrics/Gynaecology,Menopause symptoms,Menopause symptoms,"Menopause symptoms, Menopause",,,General Medicine,Gynaecology,Mild,7,BL-00122,Approved,TT-0122,No,No,No
DIAG-0121,Chronic,Yes,Obstetrics/Gynaecology,Female infertility,Female infertility,"Female infertility, Female",,,General Medicine,General Medicine,Mild,7,BL-00123,Approved,TT-0123,No,No,No
DIAG-0122,Chronic,Yes,Medical Disease,Male infertility,Male infertility,"Male infertility, Male",,,General Medicine,General Medicine,Mild,7,BL-00124,Approved,TT-0124,No,No,No
DIAG-0123,Acute,No,Respiratory,Asthma acute exacerbation,Asthma acute exacerbation,"Asthma acute exacerbation, Asthma",,,General Medicine,Respiratory,Severe,30,BL-00125,Approved,TT-0125,No,No,No
DIAG-0124,Chronic,Yes,Respiratory,Bronchiolitis,Bronchiolitis,Bronchiolitis,,,General Medicine,Respiratory,Mild,7,BL-00126,Approved,TT-0126,No,No,No
DIAG-0125,Chronic,Yes,Respiratory,Emphysema,Emphysema,Emphysema,,,General Medicine,General Medicine,Mild,7,BL-00127,Approved,TT-0127,No,No,No
DIAG-0126,Chronic,Yes,Respiratory,Pleurisy,Pleurisy,Pleurisy,,,General Medicine,General Medicine,Mild,7,BL-00128,Approved,TT-0128,No,No,No
DIAG-0127,Acute,No,Respiratory,Pneumothorax,Pneumothorax,Pneumothorax,,,General Medicine,General Medicine,Mild,7,BL-00129,Approved,TT-0129,No,No,No
DIAG-0128,Acute,No,Respiratory,Acute respiratory distress syndrome,Acute respiratory distress syndrome,"Acute respiratory distress syndrome, Acute",,,General Medicine,Respiratory,Severe,7,BL-00130,Approved,TT-0130,No,No,No
DIAG-0129,Acute,No,General Medicine,Sepsis,Sepsis,Sepsis,,,General Medicine,General Medicine,Severe,7,BL-00131,Approved,TT-0131,No,No,No
DIAG-0130,Acute,No,General Medicine,Cellulitis,Cellulitis,Cellulitis,,,General Medicine,General Medicine,Mild,7,BL-00132,Approved,TT-0132,No,No,No
DIAG-0131,Acute,No,Dermatology,Skin abscess,Skin abscess,"Skin abscess, Skin",,,General Medicine,Dermatology,Mild,7,BL-00133,Approved,TT-0133,No,No,No
DIAG-0132,Acute,No,General Medicine,Lymphadenitis,Lymphadenitis,Lymphadenitis,,,General Medicine,General Medicine,Mild,7,BL-00134,Approved,TT-0134,No,No,No
DIAG-0133,Chronic,Yes,Skin,Herpes zoster,Herpes zoster,"Herpes zoster, Herpes",,,General Medicine,General Medicine,Mild,7,BL-00135,Approved,TT-0135,No,No,No
DIAG-0134,Acute,No,Skin,Herpes simplex,Herpes simplex,"Herpes simplex, Herpes",,,General Medicine,General Medicine,Mild,7,BL-00136,Approved,TT-0136,No,No,No
DIAG-0135,Chronic,Yes,Skin,Warts,Warts,Warts,,,General Medicine,General Medicine,Mild,7,BL-00137,Approved,TT-0137,No,No,No
DIAG-0136,Chronic,Yes,Skin,Acne vulgaris,Acne vulgaris,"Acne vulgaris, Acne",,,General Medicine,Dermatology,Mild,7,BL-00138,Approved,TT-0138,No,No,No
DIAG-0137,Chronic,Yes,Skin,Melanoma,Melanoma,Melanoma,,,Oral Oncology,Oncology,Mild,7,BL-00139,Approved,TT-0139,No,No,Yes
